SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42024,1610612738,BOS,Boston Celtics,0042400216,2025-05-16,BOS @ NYK,L,241,81,31,86,0.36,12,40,0.3,7,10,0.7,9,27,36,19,4,3,15,22,-38.0
42024,1610612738,BOS,Boston Celtics,0042400215,2025-05-14,BOS vs. NYK,W,242,127,44,84,0.524,22,49,0.449,17,26,0.654,12,32,44,27,3,12,8,25,25.0
42024,1610612738,BOS,Boston Celtics,0042400214,2025-05-12,BOS @ NYK,L,241,113,38,79,0.481,18,48,0.375,19,26,0.731,7,24,31,15,8,2,12,16,-8.0
42024,1610612738,BOS,Boston Celtics,0042400213,2025-05-10,BOS @ NYK,W,242,115,40,83,0.482,20,40,0.5,15,17,0.882,12,30,42,23,6,8,8,26,22.0
42024,1610612738,BOS,Boston Celtics,0042400212,2025-05-07,BOS vs. NYK,L,240,90,34,94,0.362,10,40,0.25,12,15,0.8,16,35,51,17,9,5,16,17,-1.0
42024,1610612738,BOS,Boston Celtics,0042400211,2025-05-05,BOS vs. NYK,L,264,105,34,97,0.351,15,60,0.25,22,26,0.846,19,40,59,18,4,5,13,22,-3.0
42024,1610612738,BOS,Boston Celtics,0042400115,2025-04-29,BOS vs. ORL,W,240,120,43,76,0.566,13,24,0.542,21,24,0.875,3,35,38,30,5,3,11,18,31.0
42024,1610612738,BOS,Boston Celtics,0042400114,2025-04-27,BOS @ ORL,W,239,107,34,78,0.436,9,31,0.29,30,32,0.938,11,35,46,17,7,7,10,17,9.0
42024,1610612738,BOS,Boston Celtics,0042400113,2025-04-25,BOS @ ORL,L,239,93,33,74,0.446,9,27,0.333,18,22,0.818,8,31,39,15,9,5,19,20,-2.0
42024,1610612738,BOS,Boston Celtics,0042400112,2025-04-23,BOS vs. ORL,W,240,109,36,80,0.45,12,37,0.324,25,33,0.758,13,33,46,17,6,4,10,19,9.0
